YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_NAME,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-08,WEEKDAY,22,Marina South Pier,NS28,752,311
2023-08,WEEKENDS/HOLIDAY,22,Marina South Pier,NS28,612,223
2023-08,WEEKENDS/HOLIDAY,0,Stevens,DT10/TE11,37,242
2023-08,WEEKDAY,0,Stevens,DT10/TE11,86,445
2023-08,WEEKDAY,10,Outram Park,EW16/NE3/TE17,28179,39454
2023-08,WEEKENDS/HOLIDAY,10,Outram Park,EW16/NE3/TE17,8691,10122
2023-08,WEEKENDS/HOLIDAY,9,Lorong Chuan,CC14,3811,1834
2023-08,WEEKDAY,9,Lorong Chuan,CC14,12842,9478
2023-08,WEEKENDS/HOLIDAY,14,Boon Lay,EW27,23184,22290
2023-08,WEEKDAY,14,Boon Lay,EW27,34444,39942
2023-08,WEEKDAY,0,Marina Bay,NS27/CE2/TE20,54,327
2023-08,WEEKENDS/HOLIDAY,0,Marina Bay,NS27/CE2/TE20,14,110
2023-08,WEEKDAY,18,Ubi,DT27,40119,21141
2023-08,WEEKENDS/HOLIDAY,18,Ubi,DT27,4854,4459
2023-08,WEEKENDS/HOLIDAY,11,Kranji,NS7,10058,12162
2023-08,WEEKDAY,11,Kranji,NS7,20288,13746
2023-08,WEEKDAY,16,Thanggam,SW4,1952,2895
2023-08,WEEKENDS/HOLIDAY,16,Thanggam,SW4,1098,1244
2023-08,WEEKENDS/HOLIDAY,10,Nicoll Highway,CC5,1384,2491
2023-08,WEEKDAY,10,Nicoll Highway,CC5,3161,5591
2023-08,WEEKENDS/HOLIDAY,13,one-north,CC23,2414,2611
2023-08,WEEKDAY,13,one-north,CC23,14265,18624
2023-08,WEEKDAY,22,Tuas Link,EW33,1465,2308
2023-08,WEEKENDS/HOLIDAY,22,Tuas Link,EW33,817,1943
2023-08,WEEKENDS/HOLIDAY,14,Holland Village,CC21,5065,4246
2023-08,WEEKDAY,14,Holland Village,CC21,9839,9036
2023-08,WEEKDAY,12,Havelock,TE16,6856,4643
2023-08,WEEKENDS/HOLIDAY,12,Havelock,TE16,3554,2679
2023-08,WEEKDAY,18,Jurong East,EW24/NS1,257894,186939
2023-08,WEEKENDS/HOLIDAY,18,Jurong East,EW24/NS1,51612,48868
2023-08,WEEKDAY,7,Potong Pasir,NE10,32856,44344
2023-08,WEEKENDS/HOLIDAY,7,Potong Pasir,NE10,4054,2998
2023-08,WEEKENDS/HOLIDAY,8,Dover,EW22,2381,1818
2023-08,WEEKDAY,8,Dover,EW22,18244,49109
2023-08,WEEKENDS/HOLIDAY,7,Fajar,BP10,1190,509
2023-08,WEEKDAY,7,Fajar,BP10,14853,3156
2023-08,WEEKENDS/HOLIDAY,15,Potong Pasir,NE10,7185,7057
2023-08,WEEKDAY,15,Potong Pasir,NE10,18647,16527
2023-08,WEEKENDS/HOLIDAY,18,Dover,EW22,2578,2923
2023-08,WEEKDAY,18,Dover,EW22,29942,25086
2023-08,WEEKENDS/HOLIDAY,15,Haw Par Villa,CC25,3514,2562
2023-08,WEEKDAY,15,Haw Par Villa,CC25,8473,6089
2023-08,WEEKENDS/HOLIDAY,12,Bayfront,CE1/DT16,12342,27266
2023-08,WEEKDAY,12,Bayfront,CE1/DT16,21232,41220
2023-08,WEEKDAY,10,Layar,SW6,4942,1802
2023-08,WEEKENDS/HOLIDAY,10,Layar,SW6,2392,849
2023-08,WEEKDAY,17,Tampines West,DT31,13651,17671
2023-08,WEEKENDS/HOLIDAY,17,Tampines West,DT31,4583,4140
2023-08,WEEKDAY,15,Lorong Chuan,CC14,12737,8690
2023-08,WEEKENDS/HOLIDAY,15,Lorong Chuan,CC14,2826,3270
2023-08,WEEKENDS/HOLIDAY,14,Marymount,CC16,3091,2893
2023-08,WEEKDAY,14,Marymount,CC16,8749,7226
2023-08,WEEKENDS/HOLIDAY,10,Lavender,EW11,10373,9157
2023-08,WEEKDAY,10,Lavender,EW11,23590,20043
2023-08,WEEKDAY,6,Dhoby Ghaut,NS24/NE6/CC1,3935,9639
2023-08,WEEKENDS/HOLIDAY,6,Dhoby Ghaut,NS24/NE6/CC1,1156,1972
2023-08,WEEKENDS/HOLIDAY,22,Great World,TE15,3019,1372
2023-08,WEEKDAY,22,Great World,TE15,6749,3026
2023-08,WEEKENDS/HOLIDAY,0,Queenstown,EW19,42,312
2023-08,WEEKDAY,0,Queenstown,EW19,91,796
2023-08,WEEKENDS/HOLIDAY,10,Buona Vista,EW21/CC22,9744,9142
2023-08,WEEKDAY,10,Buona Vista,EW21/CC22,15410,24807
2023-08,WEEKENDS/HOLIDAY,8,Dakota,CC8,3607,2867
2023-08,WEEKDAY,8,Dakota,CC8,27878,10990
2023-08,WEEKDAY,17,Little India,NE7/DT12,48498,35879
2023-08,WEEKENDS/HOLIDAY,17,Little India,NE7/DT12,22344,25234
2023-08,WEEKENDS/HOLIDAY,17,Tuas Link,EW33,2939,2170
2023-08,WEEKDAY,17,Tuas Link,EW33,16019,6459
2023-08,WEEKDAY,17,Serangoon,NE12/CC13,75328,120235
2023-08,WEEKENDS/HOLIDAY,17,Serangoon,NE12/CC13,33086,38766
2023-08,WEEKDAY,8,Newton,NS21/DT11,116341,137998
2023-08,WEEKENDS/HOLIDAY,8,Newton,NS21/DT11,17003,19005
2023-08,WEEKENDS/HOLIDAY,0,Sengkang,NE16/STC,250,1992
2023-08,WEEKDAY,0,Sengkang,NE16/STC,510,4596
2023-08,WEEKDAY,0,Marsiling,NS8,757,3451
2023-08,WEEKENDS/HOLIDAY,0,Marsiling,NS8,522,1527
2023-08,WEEKENDS/HOLIDAY,18,Khatib,NS14,15682,17994
2023-08,WEEKDAY,18,Khatib,NS14,54135,113601
2023-08,WEEKDAY,12,Tiong Bahru,EW17,24735,25625
2023-08,WEEKENDS/HOLIDAY,12,Tiong Bahru,EW17,13186,11990
2023-08,WEEKDAY,11,Gardens by the Bay,TE22,1205,4717
2023-08,WEEKENDS/HOLIDAY,11,Gardens by the Bay,TE22,863,3541
2023-08,WEEKDAY,17,Bencoolen,DT21,18438,10484
2023-08,WEEKENDS/HOLIDAY,17,Bencoolen,DT21,5080,3964
2023-08,WEEKENDS/HOLIDAY,19,Serangoon,NE12/CC13,27506,34231
2023-08,WEEKDAY,19,Serangoon,NE12/CC13,72468,149204
2023-08,WEEKENDS/HOLIDAY,6,Tuas Crescent,EW31,1418,2127
2023-08,WEEKDAY,6,Tuas Crescent,EW31,4395,11231
2023-08,WEEKDAY,15,Eunos,EW7,11694,16240
2023-08,WEEKENDS/HOLIDAY,15,Eunos,EW7,7147,7677
2023-08,WEEKENDS/HOLIDAY,0,Punggol,NE17/PTC,254,1997
2023-08,WEEKDAY,0,Punggol,NE17/PTC,469,4023
2023-08,WEEKDAY,13,Jelapang,BP12,4754,1763
2023-08,WEEKENDS/HOLIDAY,13,Jelapang,BP12,1238,760
2023-08,WEEKDAY,14,Bishan,NS17/CC15,47784,44555
2023-08,WEEKENDS/HOLIDAY,14,Bishan,NS17/CC15,22046,20554
2023-08,WEEKDAY,16,MacPherson,CC10/DT26,16511,13887
2023-08,WEEKENDS/HOLIDAY,16,MacPherson,CC10/DT26,7352,5982
2023-08,WEEKENDS/HOLIDAY,6,Kaki Bukit,DT28,3249,1214
2023-08,WEEKDAY,6,Kaki Bukit,DT28,17194,8350
2023-08,WEEKDAY,5,Sixth Avenue,DT7,180,108
2023-08,WEEKENDS/HOLIDAY,5,Sixth Avenue,DT7,33,1
2023-08,WEEKDAY,11,Nibong,PW5,2695,1734
2023-08,WEEKENDS/HOLIDAY,11,Nibong,PW5,2280,928
2023-08,WEEKENDS/HOLIDAY,18,Keat Hong,BP3,1896,2426
2023-08,WEEKDAY,18,Keat Hong,BP3,5411,14572
2023-08,WEEKDAY,22,Telok Blangah,CC28,1308,4812
2023-08,WEEKENDS/HOLIDAY,22,Telok Blangah,CC28,668,2049
2023-08,WEEKENDS/HOLIDAY,13,Layar,SW6,1787,1486
2023-08,WEEKDAY,13,Layar,SW6,5099,4524
2023-08,WEEKDAY,23,one-north,CC23,2134,644
2023-08,WEEKENDS/HOLIDAY,23,one-north,CC23,668,288
2023-08,WEEKENDS/HOLIDAY,22,Rochor,DT13,3186,3126
2023-08,WEEKDAY,22,Rochor,DT13,8832,7483
2023-08,WEEKDAY,23,Hougang,NE14,2891,20308
2023-08,WEEKENDS/HOLIDAY,23,Hougang,NE14,1369,8717
2023-08,WEEKDAY,22,Woodlands,NS9/TE2,26906,66111
2023-08,WEEKENDS/HOLIDAY,22,Woodlands,NS9/TE2,13750,27295
2023-08,WEEKDAY,12,Jalan Besar,DT22,7749,9472
2023-08,WEEKENDS/HOLIDAY,12,Jalan Besar,DT22,4537,6517
2023-08,WEEKDAY,18,Kaki Bukit,DT28,43012,28425
2023-08,WEEKENDS/HOLIDAY,18,Kaki Bukit,DT28,6144,6076
2023-08,WEEKENDS/HOLIDAY,12,Upper Changi,DT34,2569,1368
2023-08,WEEKDAY,12,Upper Changi,DT34,5006,3843
2023-08,WEEKENDS/HOLIDAY,9,Tongkang,SW7,1789,562
2023-08,WEEKDAY,9,Tongkang,SW7,4645,1287
2023-08,WEEKDAY,12,Punggol,NE17/PTC,40944,39132
2023-08,WEEKENDS/HOLIDAY,12,Punggol,NE17/PTC,26447,21664
2023-08,WEEKENDS/HOLIDAY,19,Farrer Park,NE8,27785,27864
2023-08,WEEKDAY,19,Farrer Park,NE8,41145,70119
2023-08,WEEKENDS/HOLIDAY,21,Kent Ridge,CC24,3653,2714
2023-08,WEEKDAY,21,Kent Ridge,CC24,29539,4721
2023-08,WEEKDAY,12,Paya Lebar,EW8/CC9,43205,55746
2023-08,WEEKENDS/HOLIDAY,12,Paya Lebar,EW8/CC9,30467,34706
2023-08,WEEKDAY,20,Phoenix,BP5,1672,2401
2023-08,WEEKENDS/HOLIDAY,20,Phoenix,BP5,546,856
2023-08,WEEKENDS/HOLIDAY,12,Tanjong Pagar,EW15,9996,14017
2023-08,WEEKDAY,12,Tanjong Pagar,EW15,35095,39669
2023-08,WEEKDAY,7,Thanggam,SW4,10206,1937
2023-08,WEEKENDS/HOLIDAY,7,Thanggam,SW4,713,395
2023-08,WEEKDAY,22,Tampines East,DT33,3526,26862
2023-08,WEEKENDS/HOLIDAY,22,Tampines East,DT33,1733,10387
2023-08,WEEKDAY,11,Jurong East,EW24/NS1,37033,70807
2023-08,WEEKENDS/HOLIDAY,11,Jurong East,EW24/NS1,21028,43750
2023-08,WEEKDAY,21,Chinese Garden,EW25,4783,14705
2023-08,WEEKENDS/HOLIDAY,21,Chinese Garden,EW25,2796,5961
2023-08,WEEKDAY,16,Bras Basah,CC2,8173,4808
2023-08,WEEKENDS/HOLIDAY,16,Bras Basah,CC2,3012,2895
2023-08,WEEKENDS/HOLIDAY,14,Bartley,CC12,2650,2814
2023-08,WEEKDAY,14,Bartley,CC12,12255,6518
