DATETIME,DAY_TYPE,PT_NAME,TRAIN_LINES,PT_CODE,PT_LATITUDE,PT_LONGITUDE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-08-31 22:00:00,0,Marina South Pier,1,NS28,1.271422,103.863581,752,311
2023-08-31 22:00:00,1,Marina South Pier,1,NS28,1.271422,103.863581,612,223
2023-08-31 00:00:00,1,Stevens,2,DT10/TE11,1.320012,103.825964,37,242
2023-08-31 00:00:00,0,Stevens,2,DT10/TE11,1.320012,103.825964,86,445
2023-08-31 10:00:00,0,Outram Park,3,EW16/NE3/TE17,1.280319,103.839459,28179,39454
2023-08-31 10:00:00,1,Outram Park,3,EW16/NE3/TE17,1.280319,103.839459,8691,10122
2023-08-31 09:00:00,1,Lorong Chuan,1,CC14,1.35153,103.864957,3811,1834
2023-08-31 09:00:00,0,Lorong Chuan,1,CC14,1.35153,103.864957,12842,9478
2023-08-31 14:00:00,1,Boon Lay,1,EW27,1.33862,103.705817,23184,22290
2023-08-31 14:00:00,0,Boon Lay,1,EW27,1.33862,103.705817,34444,39942
2023-08-31 00:00:00,0,Marina Bay,3,NS27/CE2/TE20,1.276481,103.854598,54,327
2023-08-31 00:00:00,1,Marina Bay,3,NS27/CE2/TE20,1.276481,103.854598,14,110
2023-08-31 18:00:00,0,Ubi,1,DT27,1.330008,103.898911,40119,21141
2023-08-31 18:00:00,1,Ubi,1,DT27,1.330008,103.898911,4854,4459
2023-08-31 11:00:00,1,Kranji,1,NS7,1.425302,103.762049,10058,12162
2023-08-31 11:00:00,0,Kranji,1,NS7,1.425302,103.762049,20288,13746
2023-08-31 16:00:00,0,Thanggam,1,SW4,1.397378,103.87561,1952,2895
2023-08-31 16:00:00,1,Thanggam,1,SW4,1.397378,103.87561,1098,1244
2023-08-31 10:00:00,1,Nicoll Highway,1,CC5,1.300292,103.863449,1384,2491
2023-08-31 10:00:00,0,Nicoll Highway,1,CC5,1.300292,103.863449,3161,5591
2023-08-31 13:00:00,1,one-north,1,CC23,1.299854,103.787584,2414,2611
2023-08-31 13:00:00,0,one-north,1,CC23,1.299854,103.787584,14265,18624
2023-08-31 22:00:00,0,Tuas Link,1,EW33,1.340371,103.636866,1465,2308
2023-08-31 22:00:00,1,Tuas Link,1,EW33,1.340371,103.636866,817,1943
2023-08-31 14:00:00,1,Holland Village,1,CC21,1.311189,103.796119,5065,4246
2023-08-31 14:00:00,0,Holland Village,1,CC21,1.311189,103.796119,9839,9036
2023-08-31 12:00:00,0,Havelock,1,TE16,1.287778,103.833611,6856,4643
2023-08-31 12:00:00,1,Havelock,1,TE16,1.287778,103.833611,3554,2679
2023-08-31 18:00:00,0,Jurong East,2,EW24/NS1,1.333207,103.742308,257894,186939
2023-08-31 18:00:00,1,Jurong East,2,EW24/NS1,1.333207,103.742308,51612,48868
2023-08-31 07:00:00,0,Potong Pasir,1,NE10,1.331316,103.868779,32856,44344
2023-08-31 07:00:00,1,Potong Pasir,1,NE10,1.331316,103.868779,4054,2998
2023-08-31 08:00:00,1,Dover,1,EW22,1.311414,103.778596,2381,1818
2023-08-31 08:00:00,0,Dover,1,EW22,1.311414,103.778596,18244,49109
2023-08-31 07:00:00,1,Fajar,1,BP10,1.384502,103.770862,1190,509
2023-08-31 07:00:00,0,Fajar,1,BP10,1.384502,103.770862,14853,3156
2023-08-31 15:00:00,1,Potong Pasir,1,NE10,1.331316,103.868779,7185,7057
2023-08-31 15:00:00,0,Potong Pasir,1,NE10,1.331316,103.868779,18647,16527
2023-08-31 18:00:00,1,Dover,1,EW22,1.311414,103.778596,2578,2923
2023-08-31 18:00:00,0,Dover,1,EW22,1.311414,103.778596,29942,25086
2023-08-31 15:00:00,1,Haw Par Villa,1,CC25,1.283149,103.781991,3514,2562
2023-08-31 15:00:00,0,Haw Par Villa,1,CC25,1.283149,103.781991,8473,6089
2023-08-31 12:00:00,1,Bayfront,2,CE1/DT16,1.281371,103.858998,12342,27266
2023-08-31 12:00:00,0,Bayfront,2,CE1/DT16,1.281371,103.858998,21232,41220
2023-08-31 10:00:00,0,Layar,1,SW6,1.392141,103.880022,4942,1802
2023-08-31 10:00:00,1,Layar,1,SW6,1.392141,103.880022,2392,849
2023-08-31 17:00:00,0,Tampines West,1,DT31,1.345583,103.938244,13651,17671
2023-08-31 17:00:00,1,Tampines West,1,DT31,1.345583,103.938244,4583,4140
2023-08-31 15:00:00,0,Lorong Chuan,1,CC14,1.35153,103.864957,12737,8690
2023-08-31 15:00:00,1,Lorong Chuan,1,CC14,1.35153,103.864957,2826,3270
2023-08-31 14:00:00,1,Marymount,1,CC16,1.349089,103.839116,3091,2893
2023-08-31 14:00:00,0,Marymount,1,CC16,1.349089,103.839116,8749,7226
2023-08-31 10:00:00,1,Lavender,1,EW11,1.307577,103.863155,10373,9157
2023-08-31 10:00:00,0,Lavender,1,EW11,1.307577,103.863155,23590,20043
2023-08-31 06:00:00,0,Dhoby Ghaut,3,NS24/NE6/CC1,1.299169,103.845799,3935,9639
2023-08-31 06:00:00,1,Dhoby Ghaut,3,NS24/NE6/CC1,1.299169,103.845799,1156,1972
2023-08-31 22:00:00,1,Great World,1,TE15,1.295,103.833333,3019,1372
2023-08-31 22:00:00,0,Great World,1,TE15,1.295,103.833333,6749,3026
2023-08-31 00:00:00,1,Queenstown,1,EW19,1.294867,103.805902,42,312
2023-08-31 00:00:00,0,Queenstown,1,EW19,1.294867,103.805902,91,796
2023-08-31 10:00:00,1,Buona Vista,2,EW21/CC22,1.307337,103.790046,9744,9142
2023-08-31 10:00:00,0,Buona Vista,2,EW21/CC22,1.307337,103.790046,15410,24807
2023-08-31 08:00:00,1,Dakota,1,CC8,1.308474,103.888825,3607,2867
2023-08-31 08:00:00,0,Dakota,1,CC8,1.308474,103.888825,27878,10990
2023-08-31 17:00:00,0,Little India,2,NE7/DT12,1.306691,103.849396,48498,35879
2023-08-31 17:00:00,1,Little India,2,NE7/DT12,1.306691,103.849396,22344,25234
2023-08-31 17:00:00,1,Tuas Link,1,EW33,1.340371,103.636866,2939,2170
2023-08-31 17:00:00,0,Tuas Link,1,EW33,1.340371,103.636866,16019,6459
2023-08-31 17:00:00,0,Serangoon,2,NE12/CC13,1.349862,103.873635,75328,120235
2023-08-31 17:00:00,1,Serangoon,2,NE12/CC13,1.349862,103.873635,33086,38766
2023-08-31 08:00:00,0,Newton,2,NS21/DT11,1.31383,103.838021,116341,137998
2023-08-31 08:00:00,1,Newton,2,NS21/DT11,1.31383,103.838021,17003,19005
2023-08-31 00:00:00,1,Sengkang,2,NE16/STC,1.391682,103.895475,250,1992
2023-08-31 00:00:00,0,Sengkang,2,NE16/STC,1.391682,103.895475,510,4596
2023-08-31 00:00:00,0,Marsiling,1,NS8,1.432579,103.77415,757,3451
2023-08-31 00:00:00,1,Marsiling,1,NS8,1.432579,103.77415,522,1527
2023-08-31 18:00:00,1,Khatib,1,NS14,1.417423,103.832995,15682,17994
2023-08-31 18:00:00,0,Khatib,1,NS14,1.417423,103.832995,54135,113601
2023-08-31 12:00:00,0,Tiong Bahru,1,EW17,1.286555,103.826956,24735,25625
2023-08-31 12:00:00,1,Tiong Bahru,1,EW17,1.286555,103.826956,13186,11990
2023-08-31 11:00:00,0,Gardens by the Bay,1,TE22,1.2783,103.868,1205,4717
2023-08-31 11:00:00,1,Gardens by the Bay,1,TE22,1.2783,103.868,863,3541
2023-08-31 17:00:00,0,Bencoolen,1,DT21,1.298477,103.849984,18438,10484
2023-08-31 17:00:00,1,Bencoolen,1,DT21,1.298477,103.849984,5080,3964
2023-08-31 19:00:00,1,Serangoon,2,NE12/CC13,1.349862,103.873635,27506,34231
2023-08-31 19:00:00,0,Serangoon,2,NE12/CC13,1.349862,103.873635,72468,149204
2023-08-31 06:00:00,1,Tuas Crescent,1,EW31,1.321091,103.649075,1418,2127
2023-08-31 06:00:00,0,Tuas Crescent,1,EW31,1.321091,103.649075,4395,11231
2023-08-31 15:00:00,0,Eunos,1,EW7,1.319809,103.902888,11694,16240
2023-08-31 15:00:00,1,Eunos,1,EW7,1.319809,103.902888,7147,7677
2023-08-31 00:00:00,1,Punggol,2,NE17/PTC,1.405191,103.902367,254,1997
2023-08-31 00:00:00,0,Punggol,2,NE17/PTC,1.405191,103.902367,469,4023
2023-08-31 13:00:00,0,Jelapang,1,BP12,1.386703,103.764547,4754,1763
